SNo.,document_id,source_group,corpus_pack,file_name,file_extension,relative_path,absolute_path,file_size_bytes,last_modified_datetime,sha256_checksum,supported_file_type,extraction_method_hint,index_in_rag,ingest_status,notes
10,DOC_000011,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_Investment_Memorandum.docx,.docx,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Investment_Memorandum.docx,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Investment_Memorandum.docx,41803,2026-06-25 17:23:22,eba378f0b6312d431a67f013c2ab1105346a211553f16a4d91196ec8f0433e35,Yes,extract_docx_text,Yes,pending,
11,DOC_000012,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_Financial_Assumptions.xlsx,.xlsx,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Financial_Assumptions.xlsx,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Financial_Assumptions.xlsx,19102,2026-06-25 17:23:22,6af795415a3ec308656874618a804257d09ede0a780eb36a8584c59501c6cbe2,Yes,extract_excel_tables,No,pending,
12,DOC_000013,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_Financial_Assumptions.xlsx:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Financial_Assumptions.xlsx:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Financial_Assumptions.xlsx:Zone.Identifier,25,2026-06-25 17:23:22,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
13,DOC_000014,client_data,TXN_HELIOS_001,README_SYNTHETIC_PACK.md:Zone.Identifier:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/README_SYNTHETIC_PACK.md:Zone.Identifier:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/README_SYNTHETIC_PACK.md:Zone.Identifier:Zone.Identifier,25,2026-06-25 17:59:14,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
14,DOC_000015,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_Market_and_Benchmark_Note.docx,.docx,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Market_and_Benchmark_Note.docx,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Market_and_Benchmark_Note.docx,39062,2026-06-25 17:23:22,08b5f124d00cb7c679f023eb6c7948e6aa32380f0a3ec1364dd6c1efac2e918e,Yes,extract_docx_text,Yes,pending,
15,DOC_000016,client_data,TXN_HELIOS_001,synthetic_submission_manifest.csv:Zone.Identifier:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/synthetic_submission_manifest.csv:Zone.Identifier:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/synthetic_submission_manifest.csv:Zone.Identifier:Zone.Identifier,25,2026-06-25 17:59:14,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
16,DOC_000017,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_Investment_Memorandum.docx:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Investment_Memorandum.docx:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_Investment_Memorandum.docx:Zone.Identifier,25,2026-06-25 17:23:22,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
17,DOC_000018,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_IC_Deck.pdf:Zone.Identifier:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_IC_Deck.pdf:Zone.Identifier:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_IC_Deck.pdf:Zone.Identifier:Zone.Identifier,25,2026-06-25 17:59:14,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
18,DOC_000019,client_data,TXN_HELIOS_001,README_SYNTHETIC_PACK.md:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/README_SYNTHETIC_PACK.md:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/README_SYNTHETIC_PACK.md:Zone.Identifier,25,2026-06-25 17:23:22,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
19,DOC_000020,client_data,TXN_HELIOS_001,Synthetic_Project_Helios_IC_Deck.pptx:Zone.Identifier:Zone.Identifier,.identifier,client_data/TXN_HELIOS_001/Synthetic_Project_Helios_IC_Deck.pptx:Zone.Identifier:Zone.Identifier,/home/anurag_sarangi/projects/global_rag_pipeline/global_rag/client_data/TXN_HELIOS_001/Synthetic_Project_Helios_IC_Deck.pptx:Zone.Identifier:Zone.Identifier,25,2026-06-25 17:59:14,b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe,No,unknown,No,pending,
